col_names;Statut;todo
STRATNAL1RESERVED_NAME_FOR_FIELD_LIST_LABELS_330;ok;drop
Q10_7;ok;
Q10_8;ok;
Q10_9;ok;
Q10_10;ok;
Q10_11;ok;
Q10_12;ok;
Q10_13;ok;
Q10_14;ok;
Q10_15;ok;
STRATNAL2GENERATED_TABLE_LIST_LABEL_340;ok;drop
STRATNAL2RESERVED_NAME_FOR_FIELD_LIST_LABELS_341;ok;drop
Q10_16;ok;
Q10_17;ok;
Q10_18;ok;
Q10_19;ok;
Q10_20;ok;
Q10_21;ok;
Q10_22;ok;
Q10_23;ok;
Q10_24;ok;
SECTION11;ok;drop
Q11AGENERATED_TABLE_LIST_LABEL_353;ok;drop
Q11ARESERVED_NAME_FOR_FIELD_LIST_LABELS_354;ok;drop
Q11BGENERATED_TABLE_LIST_LABEL_361;ok;drop
Q11BRESERVED_NAME_FOR_FIELD_LIST_LABELS_362;ok;drop
KEY;ok;drop
Q7_0B1;ok;
Q7_0B2;ok;
Q7_0B3;ok;
Q7_21;ok;
Q7_22;ok;
Q7_23;ok;
TAILMENAG;ok;
ACTIFS;ok;
PLUSDE15ANS;ok;
Q10_1A;ok;
Q10_2A;ok;
Q10_3A;ok;
Q10_4A;ok;
Q10_5A;ok;
COPING7;ok;drop
COPING8;ok;drop
COPING9;ok;drop
COPING10;ok;drop
COPING11;ok;drop
COPING12;ok;drop
COPING13;ok;drop
COPING14;ok;drop
COPING15;ok;drop
COPING16;ok;drop
COPING17;ok;drop
COPING18;ok;drop
COPING19;ok;drop
COPING20;ok;drop
COPING21;ok;drop
COPING22;ok;drop
COPING23;ok;drop
COPING24;ok;drop
COPING_STRATEGY;ok;drop
CLASS_PCDEPALIM;ok;drop
COPING_CAPA;ok;drop
CLASS_FS;ok;drop
FS_CLASSIF;ok;drop
EXTRAPOL;ok;
DEVICEID;ok;drop
FSMS_JUIN14;ok;drop
NOMVILL;ok;
Q7_2_1;ok;
Q7_2_2;ok;
Q7_2_3;ok;
STRATE;ok;
Q9_17;ok;
STRATEG1GENERATED_TABLE_LIST_LABEL_330;ok;drop
STRATNAL1GENERATED_TABLE_LIST_LABEL_337;ok;drop
STRATNAL1RESERVED_NAME_FOR_FIELD_LIST_LABELS_338;ok;drop
Q11AGENERATED_TABLE_LIST_LABEL_361;ok;drop
Q11ARESERVED_NAME_FOR_FIELD_LIST_LABELS_362;ok;drop
STRATE1;ok;
WILAYA;ok;
COMMUNE;ok;
Q2_0B1;ok;
Q5_0B1;ok;drop
Q7_2A;ok;
Q7_2B;ok;
Q7_17;ok;drop
SECTION8BIS;ok;drop
Q11_2A;ok;
SECTIONXX;ok;drop
